order_item_id,order_id,product_id,quantity,unit_price,line_total
5001,1001,342,5,130996.95,654984.75
5002,1002,184,8,66678.35,533426.80
5003,1003,5,8,102909.54,823276.32
5004,1004,112,2,22245.47,44490.94
5005,1005,189,7,132987.52,930912.64
5006,1006,162,7,14630.95,102416.65
5007,1007,253,7,55654.07,389578.49
5008,1008,192,8,579.81,4638.48
5009,1009,143,6,35710.52,214263.12
5010,1010,119,1,100984.34,100984.34
5011,1011,319,7,65167.89,456175.23
5012,1012,3,6,125028.58,750171.48
5013,1013,132,4,105966.91,423867.64
5014,1014,39,6,134779.64,808677.84
5015,1015,60,8,20690.12,165520.96
5016,1016,222,4,113745.46,454981.84
5017,1017,258,6,124986.59,749919.54
5018,1018,58,8,31229.73,249837.84
5019,1019,182,7,119496.36,836474.52
5020,1020,287,3,97110.33,291330.99
5021,1021,272,2,45247.90,90495.80
5022,1022,308,5,120725.95,603629.75
5023,1023,140,1,127707.01,127707.01
5024,1024,350,1,97184.42,97184.42
5025,1025,310,8,143168.98,1145351.84
5026,1026,14,6,984.94,5909.64
5027,1027,245,3,76242.66,228727.98
5028,1028,256,5,52202.19,261010.95
5029,1029,330,2,112466.59,224933.18
5030,1030,27,6,130555.92,783335.52
5031,1031,45,6,40579.50,243477.00
5032,1032,344,2,37652.07,75304.14
5033,1033,192,1,579.81,579.81
5034,1034,337,1,65660.79,65660.79
5035,1035,114,2,79044.86,158089.72
5036,1036,200,4,96671.03,386684.12
5037,1037,108,1,52185.95,52185.95
5038,1038,2,8,72076.32,576610.56
5039,1039,247,4,147870.22,591480.88
5040,1040,99,1,15250.08,15250.08
5041,1041,246,8,146955.46,1175643.68
5042,1042,227,8,82845.89,662767.12
5043,1043,114,2,79044.86,158089.72
5044,1044,327,8,15709.17,125673.36
5045,1045,318,7,144863.17,1014042.19
5046,1046,139,8,114094.66,912757.28
5047,1047,219,2,11508.34,23016.68
5048,1048,307,7,147724.40,1034070.80
5049,1049,92,4,46747.85,186991.40
5050,1050,275,2,58436.06,116872.12
5051,1051,5,3,102909.54,308728.62
5052,1052,340,1,147084.18,147084.18
5053,1053,323,4,138529.22,554116.88
5054,1054,114,3,79044.86,237134.58
5055,1055,318,6,144863.17,869179.02
5056,1056,128,6,4743.83,28462.98
5057,1057,78,1,126469.03,126469.03
5058,1058,282,3,103136.52,309409.56
5059,1059,285,6,43830.24,262981.44
5060,1060,99,6,15250.08,91500.48
5061,1061,333,8,121986.59,975892.72
5062,1062,83,5,75205.42,376027.10
5063,1063,4,2,1578.26,3156.52
5064,1064,278,2,62757.57,125515.14
5065,1065,82,4,98808.95,395235.80
5066,1066,311,5,22411.69,112058.45
5067,1067,115,5,46148.07,230740.35
5068,1068,330,1,112466.59,112466.59
5069,1069,68,8,93152.79,745222.32
5070,1070,145,8,115173.09,921384.72
5071,1071,84,8,116406.54,931252.32
5072,1072,96,8,139618.86,1116950.88
5073,1073,51,4,17769.60,71078.40
5074,1074,156,4,83721.91,334887.64
5075,1075,19,8,147435.86,1179486.88
5076,1076,47,2,84141.60,168283.20
5077,1077,31,5,111516.41,557582.05
5078,1078,69,8,88392.06,707136.48
5079,1079,337,8,65660.79,525286.32
5080,1080,248,8,13234.46,105875.68
5081,1081,239,4,50218.98,200875.92
5082,1082,276,3,115145.16,345435.48
5083,1083,145,7,115173.09,806211.63
5084,1084,183,2,107765.03,215530.06
5085,1085,152,6,74640.40,447842.40
5086,1086,198,5,130910.82,654554.10
5087,1087,131,3,141129.00,423387.00
5088,1088,298,7,90804.69,635632.83
5089,1089,228,4,106636.91,426547.64
5090,1090,144,6,89757.06,538542.36
5091,1091,288,6,52846.37,317078.22
5092,1092,134,8,138760.33,1110082.64
5093,1093,57,4,48547.80,194191.20
5094,1094,62,1,47597.71,47597.71
5095,1095,99,3,15250.08,45750.24
5096,1096,273,7,106872.07,748104.49
5097,1097,148,3,19120.52,57361.56
5098,1098,165,6,88546.97,531281.82
5099,1099,245,6,76242.66,457455.96
5100,1100,104,2,19311.38,38622.76
5101,1101,339,4,118322.83,473291.32
5102,1102,324,1,2676.22,2676.22
5103,1103,69,5,88392.06,441960.30
5104,1104,234,5,49692.24,248461.20
5105,1105,322,2,127498.60,254997.20
5106,1106,18,6,113904.50,683427.00
5107,1107,205,8,37006.09,296048.72
5108,1108,269,1,49639.08,49639.08
5109,1109,4,5,1578.26,7891.30
5110,1110,96,2,139618.86,279237.72
5111,1111,279,5,134864.16,674320.80
5112,1112,149,4,94400.32,377601.28
5113,1113,293,4,139397.71,557590.84
5114,1114,150,2,15645.66,31291.32
5115,1115,267,3,48399.13,145197.39
5116,1116,253,6,55654.07,333924.42
5117,1117,72,6,143295.70,859774.20
5118,1118,253,5,55654.07,278270.35
5119,1119,85,1,149044.67,149044.67
5120,1120,159,2,105488.50,210977.00
5121,1121,124,4,94230.73,376922.92
5122,1122,120,4,12742.34,50969.36
5123,1123,247,8,147870.22,1182961.76
5124,1124,193,8,84998.20,679985.60
5125,1125,6,6,109126.54,654759.24
5126,1126,146,4,105310.18,421240.72
5127,1127,126,1,111175.85,111175.85
5128,1128,84,5,116406.54,582032.70
5129,1129,118,6,57940.36,347642.16
5130,1130,284,5,57023.76,285118.80
5131,1131,54,6,117929.23,707575.38
5132,1132,326,1,68430.40,68430.40
5133,1133,37,6,99707.63,598245.78
5134,1134,337,2,65660.79,131321.58
5135,1135,29,1,42439.60,42439.60
5136,1136,108,6,52185.95,313115.70
5137,1137,126,4,111175.85,444703.40
5138,1138,91,6,29948.15,179688.90
5139,1139,115,2,46148.07,92296.14
5140,1140,148,8,19120.52,152964.16
5141,1141,270,5,106940.52,534702.60
5142,1142,24,4,8381.51,33526.04
5143,1143,208,2,43114.04,86228.08
5144,1144,50,7,136127.87,952895.09
5145,1145,144,3,89757.06,269271.18
5146,1146,20,2,20804.98,41609.96
5147,1147,238,5,113862.30,569311.50
5148,1148,94,6,1806.20,10837.20
5149,1149,327,4,15709.17,62836.68
5150,1150,121,2,113567.22,227134.44
5151,1151,249,4,146973.21,587892.84
5152,1152,115,7,46148.07,323036.49
5153,1153,53,4,93932.44,375729.76
5154,1154,235,4,2470.58,9882.32
5155,1155,164,6,30076.69,180460.14
5156,1156,275,3,58436.06,175308.18
5157,1157,21,1,33026.40,33026.40
5158,1158,113,6,122373.52,734241.12
5159,1159,317,4,138286.55,553146.20
5160,1160,31,5,111516.41,557582.05
5161,1161,243,6,54029.36,324176.16
5162,1162,120,3,12742.34,38227.02
5163,1163,107,3,63296.49,189889.47
5164,1164,331,1,125909.69,125909.69
5165,1165,281,5,19944.18,99720.90
5166,1166,31,8,111516.41,892131.28
5167,1167,180,1,48123.69,48123.69
5168,1168,116,8,51380.72,411045.76
5169,1169,201,8,20159.01,161272.08
5170,1170,282,2,103136.52,206273.04
5171,1171,228,3,106636.91,319910.73
5172,1172,257,2,30118.68,60237.36
5173,1173,162,7,14630.95,102416.65
5174,1174,189,1,132987.52,132987.52
5175,1175,66,1,93050.84,93050.84
5176,1176,123,7,37308.86,261162.02
5177,1177,44,1,4881.58,4881.58
5178,1178,183,6,107765.03,646590.18
5179,1179,295,4,40684.77,162739.08
5180,1180,109,8,91864.34,734914.72
5181,1181,138,8,136315.69,1090525.52
5182,1182,258,7,124986.59,874906.13
5183,1183,142,1,141998.10,141998.10
5184,1184,87,1,46478.86,46478.86
5185,1185,223,5,87604.97,438024.85
5186,1186,85,6,149044.67,894268.02
5187,1187,328,8,104609.01,836872.08
5188,1188,186,8,58116.02,464928.16
5189,1189,213,4,108480.98,433923.92
5190,1190,115,3,46148.07,138444.21
5191,1191,114,8,79044.86,632358.88
5192,1192,142,4,141998.10,567992.40
5193,1193,137,8,87985.89,703887.12
5194,1194,264,8,105840.72,846725.76
