order_id,customer_id,order_date,total_amount,order_status
1001,159,2025-10-12,654984.75,Pending
1002,348,2025-09-07,533426.80,Pending
1003,207,2025-09-08,823276.32,Delivered
1004,339,2026-05-10,44490.94,Delivered
1005,313,2026-03-17,930912.64,Pending
1006,139,2025-11-22,102416.65,Pending
1007,61,2025-11-19,389578.49,Delivered
1008,269,2025-09-02,4638.48,Delivered
1009,86,2025-06-28,214263.12,Shipped
1010,322,2025-04-27,100984.34,Delivered
1011,137,2025-06-22,456175.23,Delivered
1012,318,2025-04-13,750171.48,Shipped
1013,115,2025-04-19,423867.64,Shipped
1014,208,2025-02-09,808677.84,Paid
1015,146,2026-07-04,165520.96,Shipped
1016,299,2025-08-21,454981.84,Delivered
1017,19,2025-07-18,749919.54,Delivered
1018,254,2025-12-13,249837.84,Shipped
1019,271,2025-08-01,836474.52,Delivered
1020,188,2025-04-20,291330.99,Delivered
1021,194,2025-09-22,90495.80,Pending
1022,167,2025-09-17,603629.75,Cancelled
1023,120,2025-08-29,127707.01,Paid
1024,68,2025-08-07,97184.42,Delivered
1025,168,2026-06-12,1145351.84,Delivered
1026,268,2025-03-26,5909.64,Shipped
1027,233,2025-05-20,228727.98,Delivered
1028,320,2026-07-19,261010.95,Cancelled
1029,304,2026-04-27,224933.18,Shipped
1030,292,2025-10-12,783335.52,Delivered
1031,92,2026-02-16,243477.00,Delivered
1032,96,2025-11-09,75304.14,Paid
1033,201,2025-12-03,579.81,Cancelled
1034,250,2025-12-14,65660.79,Paid
1035,269,2025-06-15,158089.72,Cancelled
1036,96,2026-02-22,386684.12,Shipped
1037,228,2026-04-30,52185.95,Shipped
1038,288,2025-01-31,576610.56,Delivered
1039,348,2026-03-24,591480.88,Delivered
1040,154,2025-08-06,15250.08,Delivered
1041,53,2025-09-22,1175643.68,Delivered
1042,333,2025-10-07,662767.12,Delivered
1043,232,2026-01-19,158089.72,Paid
1044,252,2025-09-25,125673.36,Pending
1045,200,2025-06-19,1014042.19,Delivered
1046,88,2025-08-15,912757.28,Delivered
1047,257,2025-05-12,23016.68,Delivered
1048,52,2025-11-18,1034070.80,Paid
1049,139,2026-04-19,186991.40,Delivered
1050,223,2025-08-28,116872.12,Delivered
1051,34,2025-05-02,308728.62,Paid
1052,110,2025-08-10,147084.18,Delivered
1053,246,2025-05-11,554116.88,Paid
1054,149,2026-01-27,237134.58,Delivered
1055,86,2025-07-31,869179.02,Paid
1056,267,2025-09-09,28462.98,Shipped
1057,7,2025-03-06,126469.03,Paid
1058,310,2026-04-17,309409.56,Delivered
1059,320,2025-11-15,262981.44,Paid
1060,314,2026-03-15,91500.48,Paid
1061,2,2026-06-28,975892.72,Shipped
1062,208,2025-12-16,376027.10,Paid
1063,269,2025-11-12,3156.52,Delivered
1064,203,2025-07-19,125515.14,Delivered
1065,112,2025-04-26,395235.80,Delivered
1066,222,2025-03-19,112058.45,Shipped
1067,9,2025-04-16,230740.35,Delivered
1068,88,2025-07-06,112466.59,Shipped
1069,24,2026-07-09,745222.32,Delivered
1070,103,2026-04-10,921384.72,Paid
1071,110,2026-02-21,931252.32,Paid
1072,183,2026-02-27,1116950.88,Delivered
1073,255,2026-07-13,71078.40,Pending
1074,267,2025-10-01,334887.64,Paid
1075,65,2025-02-12,1179486.88,Delivered
1076,160,2025-11-25,168283.20,Delivered
1077,171,2026-02-10,557582.05,Paid
1078,166,2025-11-26,707136.48,Pending
1079,158,2025-11-01,525286.32,Shipped
1080,68,2025-10-24,105875.68,Paid
1081,75,2025-03-15,200875.92,Delivered
1082,169,2026-02-26,345435.48,Pending
1083,20,2025-04-24,806211.63,Shipped
1084,172,2025-02-05,215530.06,Paid
1085,221,2026-06-08,447842.40,Delivered
1086,66,2026-07-16,654554.10,Pending
1087,332,2025-04-12,423387.00,Cancelled
1088,180,2025-07-29,635632.83,Shipped
1089,120,2025-06-20,426547.64,Delivered
1090,318,2025-04-13,538542.36,Delivered
1091,100,2026-01-20,317078.22,Delivered
1092,272,2025-09-09,1110082.64,Shipped
